"filename", "language", "vue", "JavaScript", "Markdown", "TypeScript", "HTML", "JSON", "JSON with Comments", "SCSS", "CSS", "comment", "blank", "total"
"d:\term5\projectALL\CloudLX\CloudLX\.hbuilderx\launch.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, -19, 0, 0, -1, -1, -21
"d:\term5\projectALL\CloudLX\CloudLX\README.md", "Markdown", 0, 0, -3, 0, 0, 0, 0, 0, 0, 0, 0, -3
"d:\term5\projectALL\CloudLX\CloudLX\index.html", "HTML", 0, 0, 0, 0, -15, 0, 0, 0, 0, -4, 0, -19
"d:\term5\projectALL\CloudLX\CloudLX\lib\amap-wx.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, 0, 0, -31
"d:\term5\projectALL\CloudLX\CloudLX\package-lock.json", "JSON", 0, 0, 0, 0, 0, -10021, 0, 0, 0, 0, -1, -10022
"d:\term5\projectALL\CloudLX\CloudLX\package.json", "JSON", 0, 0, 0, 0, 0, -76, 0, 0, 0, 0, -1, -77
"d:\term5\projectALL\CloudLX\CloudLX\shims-uni.d.ts", "TypeScript", 0, 0, 0, -6, 0, 0, 0, 0, 0, -1, -4, -11
"d:\term5\projectALL\CloudLX\CloudLX\src\App.vue", "vue", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -22
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-activity.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -5, -3, -39
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-map.js", "JavaScript", 0, -31, 0, 0, 0, 0, 0, 0, 0, -4, -3, -38
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-order.js", "JavaScript", 0, -43, 0, 0, 0, 0, 0, 0, 0, -5, -1, -49
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-parcel.js", "JavaScript", 0, -35, 0, 0, 0, 0, 0, 0, 0, -5, -7, -47
"d:\term5\projectALL\CloudLX\CloudLX\src\api\api-user.js", "JavaScript", 0, -185, 0, 0, 0, 0, 0, 0, 0, -25, -19, -229
"d:\term5\projectALL\CloudLX\CloudLX\src\api\request.js", "JavaScript", 0, -59, 0, 0, 0, 0, 0, 0, 0, -3, -4, -66
"d:\term5\projectALL\CloudLX\CloudLX\src\api\self-config.js", "JavaScript", 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, 0, -8
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\animation.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -141, -6, -37, -184
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\components\cu-custom.vue", "vue", -62, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -66
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\icon.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -921, -4, -302, -1227
"d:\term5\projectALL\CloudLX\CloudLX\src\colorui\main.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -3173, -99, -641, -3913
"d:\term5\projectALL\CloudLX\CloudLX\src\common\component\ParcelCard.vue", "vue", -12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12
"d:\term5\projectALL\CloudLX\CloudLX\src\common\fonts\iconfont.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, -36, 0, -9, -45
"d:\term5\projectALL\CloudLX\CloudLX\src\common\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -1
"d:\term5\projectALL\CloudLX\CloudLX\src\main.js", "JavaScript", 0, -12, 0, 0, 0, 0, 0, 0, 0, -2, -3, -17
"d:\term5\projectALL\CloudLX\CloudLX\src\manifest.json", "JSON", 0, 0, 0, 0, 0, -77, 0, 0, 0, -8, -1, -86
"d:\term5\projectALL\CloudLX\CloudLX\src\pages.json", "JSON", 0, 0, 0, 0, 0, -216, 0, 0, 0, -12, -7, -235
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\activity\activity.vue", "vue", 106, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 119
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address-edit.vue", "vue", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 68
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\address\address.vue", "vue", 60, 0, 0, 0, 0, 0, 0, 0, 0, -9, 5, 56
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\delivery-detail\delivery-detail.vue", "vue", 356, 0, 0, 0, 0, 0, 0, 0, 0, 23, 42, 421
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\feedback\feedback.vue", "vue", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\home\home.vue", "vue", 272, 0, 0, 0, 0, 0, 0, 0, 0, 8, 26, 306
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\idCard\idCard.vue", "vue", 104, 0, 0, 0, 0, 0, 0, 0, 0, -18, 13, 99
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\index\index.vue", "vue", 12, 0, 0, 0, 0, 0, 0, 0, 0, 3, -2, 13
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\message-detail\message-detail.vue", "vue", -26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, -25
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\messages\messages.vue", "vue", 47, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6, 55
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\mine\mine.vue", "vue", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 43
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\orders\orders.vue", "vue", 130, 0, 0, 0, 0, 0, 0, 0, 0, 7, 21, 158
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\completedPackage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\package\deliveringPackage.vue", "vue", 229, 0, 0, 0, 0, 0, 0, 0, 0, 10, 24, 263
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\review\review.vue", "vue", -12, 0, 0, 0, 0, 0, 0, 0, 0, -3, -8, -23
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\robotView\robotView.vue", "vue", 285, 0, 0, 0, 0, 0, 0, 0, 0, 5, 38, 328
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\search\search.vue", "vue", 212, 0, 0, 0, 0, 0, 0, 0, 0, -5, 33, 240
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\test\test.vue", "vue", -44, 0, 0, 0, 0, 0, 0, 0, 0, 104, -7, 53
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\userInfoInit\userInfoInit.vue", "vue", -7, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -8
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\user\user.vue", "vue", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"d:\term5\projectALL\CloudLX\CloudLX\src\pages\wallet\wallet.vue", "vue", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\term5\projectALL\CloudLX\CloudLX\src\shime-uni.d.ts", "TypeScript", 0, 0, 0, -5, 0, 0, 0, 0, 0, 0, -1, -6
"d:\term5\projectALL\CloudLX\CloudLX\src\uni.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, -38, 0, -27, -15, -80
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\changelog.md", "Markdown", 0, 0, -16, 0, 0, 0, 0, 0, 0, 0, -1, -17
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\components\cc-inputSelView\cc-inputSelView.vue", "vue", -90, 0, 0, 0, 0, 0, 0, 0, 0, 0, -29, -119
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\package.json", "JSON", 0, 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, -86
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\cc-inputSelView\readme.md", "Markdown", 0, 0, -107, 0, 0, 0, 0, 0, 0, 0, -52, -159
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\changelog.md", "Markdown", 0, 0, -170, 0, 0, 0, 0, 0, 0, 0, -3, -173
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u--text\u--text.vue", "vue", -28, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -29
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-action-sheet\u-action-sheet.vue", "vue", -237, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -247
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-alert-tips\u-alert-tips.vue", "vue", -240, 0, 0, 0, 0, 0, 0, 0, 0, 0, -21, -261
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar-cropper\u-avatar-cropper.vue", "vue", -284, 0, 0, 0, 0, 0, 0, 0, 0, -4, -15, -303
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar-cropper\weCropper.js", "JavaScript", 0, -920, 0, 0, 0, 0, 0, 0, 0, -180, -157, -1257
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-avatar\u-avatar.vue", "vue", -261, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -271
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-back-top\u-back-top.vue", "vue", -148, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -154
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-badge\u-badge.vue", "vue", -200, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -217
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-button\u-button.vue", "vue", -621, 0, 0, 0, 0, 0, 0, 0, 0, 0, -41, -662
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-calendar\u-calendar.vue", "vue", -657, 0, 0, 0, 0, 0, 0, 0, 0, -1, -25, -683
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-car-keyboard\u-car-keyboard.vue", "vue", -254, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -268
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-card\u-card.vue", "vue", -289, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -301
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-cell-group\u-cell-group.vue", "vue", -65, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -71
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-cell-item\u-cell-item.vue", "vue", -300, 0, 0, 0, 0, 0, 0, 0, 0, 0, -18, -318
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-checkbox-group\u-checkbox-group.vue", "vue", -174, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -179
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-checkbox\u-checkbox.vue", "vue", -323, 0, 0, 0, 0, 0, 0, 0, 0, 0, -16, -339
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-circle-progress\u-circle-progress.vue", "vue", -222, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -228
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-col\u-col.vue", "vue", -141, 0, 0, 0, 0, 0, 0, 0, 0, 0, -17, -158
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-collapse-item\u-collapse-item.vue", "vue", -201, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -212
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-collapse\u-collapse.vue", "vue", -97, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -101
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-column-notice\u-column-notice.vue", "vue", -230, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -239
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-count-down\u-count-down.vue", "vue", -172, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -176
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-count-down\utils.js", "JavaScript", 0, -58, 0, 0, 0, 0, 0, 0, 0, -4, -1, -63
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-count-to\u-count-to.vue", "vue", -261, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -267
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-divider\u-divider.vue", "vue", -150, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -160
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-dropdown-item\u-dropdown-item.vue", "vue", -163, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -167
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-dropdown\u-dropdown.vue", "vue", -286, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -300
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-empty\u-empty.vue", "vue", -187, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -194
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-field\u-field.vue", "vue", -381, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -403
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-form-item\u-form-item.vue", "vue", -501, 0, 0, 0, 0, 0, 0, 0, 0, -3, -30, -534
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-form\u-form.vue", "vue", -143, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -149
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-full-screen\u-full-screen.vue", "vue", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -53
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-gap\u-gap.vue", "vue", -52, 0, 0, 0, 0, 0, 0, 0, 0, 0, -3, -55
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-grid-item\u-grid-item.vue", "vue", -119, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -128
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-grid\u-grid.vue", "vue", -105, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -110
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-icon\u-icon.vue", "vue", -351, 0, 0, 0, 0, 0, 0, 0, 0, -1, -18, -370
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-image\u-image.vue", "vue", -278, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -284
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-index-anchor\u-index-anchor.vue", "vue", -84, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5, -90
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-index-list\u-index-list.vue", "vue", -306, 0, 0, 0, 0, 0, 0, 0, 0, -1, -9, -316
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-input\u-input.vue", "vue", -488, 0, 0, 0, 0, 0, 0, 0, 0, 0, -14, -502
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-keyboard\u-keyboard.vue", "vue", -274, 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, -286
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-lazy-load\u-lazy-load.vue", "vue", -248, 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, -255
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-line-progress\u-line-progress.vue", "vue", -137, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -148
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-line\u-line.vue", "vue", -80, 0, 0, 0, 0, 0, 0, 0, 0, 0, -5, -85
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-link\u-link.vue", "vue", -94, 0, 0, 0, 0, 0, 0, 0, 0, 0, -4, -98
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loading-page\u-loading-page.vue", "vue", -18, 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, -26
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loading\u-loading.vue", "vue", -99, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -109
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-loadmore\u-loadmore.vue", "vue", -193, 0, 0, 0, 0, 0, 0, 0, 0, -2, -10, -205
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-mask\u-mask.vue", "vue", -132, 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, -138
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-message-input\u-message-input.vue", "vue", -306, 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, -328
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-modal\u-modal.vue", "vue", -330, 0, 0, 0, 0, 0, 0, 0, 0, 0, -10, -340
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-navbar\u-navbar.vue", "vue", -301, 0, 0, 0, 0, 0, 0, 0, 0, -1, -14, -316
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-no-network\u-no-network.vue", "vue", -220, 0, 0, 0, 0, 0, 0, 0, 0, -3, -11, -234
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-notice-bar\u-notice-bar.vue", "vue", -263, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -274
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-number-box\u-number-box.vue", "vue", -465, 0, 0, 0, 0, 0, 0, 0, 0, -1, -11, -477
"d:\term5\projectALL\CloudLX\CloudLX\src\uni_modules\vk-uview-ui\components\u-number-keyboard\u-number-keyboard.vue", "vue", -162, 0, 0, 0, 0, 0, 0, 0, 0, 0, -9, -171
